               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10467,            0.058614,            0.031925,               0.718,            0.062434,            0.030004,           0.0069029,            0.076146,            0.050334,            0.019715,            0.070698,           0.0032558,           0.0032558
                   1,            0.078391,            0.054086,            0.020423,             0.74965,             0.19206,            0.091557,            0.030582,            0.070213,            0.033681,            0.017159,            0.040632,           0.0065239,           0.0065239
                   2,            0.075705,            0.042079,            0.019336,             0.78562,             0.19048,             0.12265,            0.037271,            0.067766,            0.030042,            0.016268,            0.010501,            0.009726,            0.009726
                   3,            0.068719,            0.036881,            0.019387,               0.768,             0.21323,             0.14799,            0.057907,            0.064422,            0.028992,            0.015095,            0.009703,            0.009703,            0.009703
                   4,            0.058542,            0.038694,            0.017947,             0.29832,             0.41909,             0.38245,             0.14324,            0.046819,            0.027814,            0.014089,            0.009703,            0.009703,            0.009703
                   5,            0.052815,            0.037625,            0.017423,             0.71449,             0.47237,             0.47938,             0.23237,             0.04656,            0.027563,            0.011612,            0.009604,            0.009604,            0.009604
                   6,            0.048918,            0.036175,            0.013751,             0.71617,             0.52434,             0.50017,             0.25292,            0.044392,            0.024696,           0.0096325,            0.009505,            0.009505,            0.009505
                   7,            0.047285,            0.033926,            0.011519,             0.77203,             0.52099,             0.52096,             0.27742,            0.037192,            0.024294,           0.0085586,            0.009406,            0.009406,            0.009406
                   8,            0.043968,            0.034752,           0.0091658,             0.73984,             0.47438,             0.50404,             0.27762,            0.038802,            0.024385,           0.0066967,            0.009307,            0.009307,            0.009307
                   9,            0.043395,            0.032154,           0.0089704,             0.91194,             0.53621,             0.59711,             0.30979,            0.036121,            0.023941,           0.0065035,            0.009208,            0.009208,            0.009208
                  10,            0.041837,            0.033796,           0.0082882,               0.924,             0.56679,             0.61724,             0.34302,            0.035261,            0.023294,           0.0063982,            0.009109,            0.009109,            0.009109
                  11,            0.039915,            0.031917,           0.0082326,             0.89077,             0.55904,             0.61797,             0.35121,            0.036794,             0.02368,           0.0062009,             0.00901,             0.00901,             0.00901
                  12,            0.039857,            0.032498,           0.0076382,             0.90657,             0.56594,             0.65051,             0.35805,            0.034263,            0.023583,             0.00628,            0.008911,            0.008911,            0.008911
                  13,            0.038359,            0.032614,           0.0070466,             0.90977,             0.57736,             0.64974,             0.36665,            0.032642,             0.02306,           0.0060165,            0.008812,            0.008812,            0.008812
                  14,            0.037914,            0.032226,           0.0069887,             0.89314,             0.55862,             0.62173,             0.37622,             0.03262,            0.023145,            0.005933,            0.008713,            0.008713,            0.008713
                  15,            0.036508,            0.030061,           0.0067439,             0.89514,             0.59046,             0.63289,             0.37382,             0.03063,            0.023388,            0.005252,            0.008614,            0.008614,            0.008614
                  16,            0.036287,            0.030437,           0.0063423,             0.91641,             0.58346,             0.66506,             0.40804,            0.029396,            0.023071,           0.0052098,            0.008515,            0.008515,            0.008515
                  17,            0.035691,            0.029328,           0.0067336,             0.91087,             0.59291,             0.66825,               0.396,            0.030716,            0.023251,           0.0051596,            0.008416,            0.008416,            0.008416
                  18,            0.035085,            0.030891,           0.0065741,             0.91451,             0.56989,             0.63943,             0.38739,            0.031377,            0.023174,           0.0053317,            0.008317,            0.008317,            0.008317
                  19,            0.035353,            0.030459,           0.0064959,              0.9111,              0.5967,             0.63188,             0.37028,            0.030694,            0.023114,           0.0050548,            0.008218,            0.008218,            0.008218
                  20,            0.033551,            0.028265,           0.0066316,             0.92569,             0.57024,             0.63502,             0.37329,            0.030062,            0.023213,           0.0060248,            0.008119,            0.008119,            0.008119
                  21,            0.033634,            0.028777,           0.0064025,             0.92699,             0.57088,              0.6487,             0.37828,             0.02907,            0.022954,           0.0058482,             0.00802,             0.00802,             0.00802
                  22,            0.033085,            0.029556,           0.0056003,             0.93746,             0.58166,             0.66145,             0.38918,            0.030499,            0.022602,           0.0058793,            0.007921,            0.007921,            0.007921
                  23,            0.032377,            0.029364,           0.0057386,             0.92709,             0.57885,             0.64826,             0.40513,            0.027974,            0.022575,            0.005325,            0.007822,            0.007822,            0.007822
                  24,            0.032068,            0.029088,           0.0055131,             0.92599,             0.58914,             0.63823,             0.38662,            0.029436,            0.023303,            0.004735,            0.007723,            0.007723,            0.007723
                  25,             0.03219,            0.028466,           0.0052563,             0.94846,             0.58545,             0.66228,             0.41818,            0.027153,            0.022471,           0.0051089,            0.007624,            0.007624,            0.007624
                  26,            0.031756,            0.027434,           0.0053178,             0.93385,             0.57323,             0.67826,             0.41593,              0.0289,            0.022965,           0.0052179,            0.007525,            0.007525,            0.007525
                  27,            0.032514,            0.029059,           0.0051859,             0.57394,             0.66663,             0.67853,              0.4295,            0.028058,            0.023419,           0.0046316,            0.007426,            0.007426,            0.007426
                  28,             0.03078,            0.027984,           0.0049802,             0.58292,               0.613,             0.64545,             0.39317,            0.026983,            0.023295,           0.0045186,            0.007327,            0.007327,            0.007327
                  29,            0.030465,            0.028383,           0.0047771,             0.72659,             0.69502,             0.71066,             0.44611,            0.028064,            0.022795,           0.0042768,            0.007228,            0.007228,            0.007228
                  30,            0.030796,            0.028108,           0.0050092,              0.7092,             0.67985,             0.67061,             0.40473,            0.027732,            0.022613,           0.0044682,            0.007129,            0.007129,            0.007129
                  31,            0.030533,             0.02892,           0.0047067,             0.62639,             0.70984,             0.67759,             0.43771,            0.027013,            0.022393,           0.0052497,             0.00703,             0.00703,             0.00703
                  32,            0.029549,            0.027452,           0.0047217,             0.62983,             0.68923,             0.68085,             0.41476,             0.02848,            0.023114,           0.0044888,            0.006931,            0.006931,            0.006931
                  33,            0.029814,             0.02622,           0.0044189,             0.63178,             0.66406,             0.67744,             0.42819,            0.026925,            0.022692,           0.0052266,            0.006832,            0.006832,            0.006832
                  34,            0.029729,            0.028216,           0.0041288,             0.65808,             0.71933,             0.72195,             0.45461,            0.026605,             0.02305,           0.0041213,            0.006733,            0.006733,            0.006733
                  35,            0.029435,            0.027274,           0.0040119,             0.69996,              0.7114,             0.69239,              0.4306,            0.026996,            0.022714,           0.0045755,            0.006634,            0.006634,            0.006634
                  36,            0.028282,            0.027004,           0.0042573,             0.72108,              0.6822,             0.68433,             0.43139,            0.026771,            0.023213,           0.0042423,            0.006535,            0.006535,            0.006535
                  37,              0.0278,             0.02743,           0.0037608,             0.74562,             0.68238,             0.68936,             0.43768,            0.026119,            0.022685,           0.0041087,            0.006436,            0.006436,            0.006436
                  38,            0.028739,            0.027084,            0.003919,             0.75608,             0.66521,             0.70648,              0.4485,            0.026256,            0.023151,           0.0039017,            0.006337,            0.006337,            0.006337
                  39,            0.028264,            0.026719,           0.0035496,             0.78669,             0.72536,             0.72567,             0.46324,            0.026502,            0.022718,           0.0038678,            0.006238,            0.006238,            0.006238
                  40,            0.028092,            0.026271,           0.0035745,             0.76775,             0.72497,             0.71335,              0.4484,            0.026266,            0.022756,           0.0042628,            0.006139,            0.006139,            0.006139
                  41,            0.027279,            0.028671,           0.0032334,             0.84172,             0.68296,             0.72644,             0.47677,            0.026218,            0.023542,           0.0037826,             0.00604,             0.00604,             0.00604
                  42,             0.02767,            0.026788,           0.0035589,             0.82031,             0.69752,             0.72978,             0.45564,            0.026538,            0.023451,           0.0038982,            0.005941,            0.005941,            0.005941
